mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
658,18807956,18812562,Flange-3466,Geometry Group,SP3D Entity,6ac96fb3-9dd8-5c91-9202-cdcd757681c3,@a=0027!!80005##720109690309963397,Flange-3466,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-003\ModuleAssembly-001-2-P-0001-1C0031,,,,Working,New,
659,18817497,18822115,Flange-3467,Geometry Group,SP3D Entity,99176b80-9dd2-5ac0-a84b-104f976a0185,@a=0027!!80005##720109690309963604,Flange-3467,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-004\ModuleAssembly-001-3-P-0001-1C0031,,,,Working,New,
660,18822572,18827190,Flange-3468,Geometry Group,SP3D Entity,bb45512a-18cb-5587-b7dc-30e204f6d337,@a=0027!!80005##720109690309963606,Flange-3468,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-004\ModuleAssembly-001-3-P-0001-1C0031,,,,Working,New,
661,18827647,18832254,Flange-3469,Geometry Group,SP3D Entity,7802ebf4-169f-5d4e-802c-9c791476a0d5,@a=0027!!80005##720109690309963600,Flange-3469,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-004\ModuleAssembly-001-3-P-0001-1C0031,,,,Working,New,
662,18832711,18837318,Flange-3470,Geometry Group,SP3D Entity,a162cd6c-752a-55e8-8c6e-41c7680fd37a,@a=0027!!80005##720109690309963609,Flange-3470,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-004\ModuleAssembly-001-3-P-0001-1C0031,,,,Working,New,
663,18841923,18846560,Flange-2001,Geometry Group,SP3D Entity,1a999757-5d48-5977-aeaf-3b6fa73aa0ff,@a=0027!!80005##442012651684233252,Flange-2001,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-005\ModuleAssembly-001-6-Undefined-0001-1C0031,,,,Working,New,
664,18847017,18851664,Flange-2002,Geometry Group,SP3D Entity,ab166508-f994-5b01-932b-c990cb23011f,@a=0027!!80005##442012651684233257,Flange-2002,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-005\ModuleAssembly-001-6-Undefined-0001-1C0031,,,,Working,New,
665,18852121,18856768,Flange-2003,Geometry Group,SP3D Entity,700f7beb-e46c-555e-864a-35009bb7fd80,@a=0027!!80005##442012651684233259,Flange-2003,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-005\ModuleAssembly-001-6-Undefined-0001-1C0031,,,,Working,New,
666,18857225,18861870,Flange-2004,Geometry Group,SP3D Entity,c69e19e3-7c2f-5dda-8b98-7495ce27fd9b,@a=0027!!80005##442012651684233263,Flange-2004,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-005\ModuleAssembly-001-6-Undefined-0001-1C0031,,,,Working,New,
667,18862327,18866980,Flange-2011,Geometry Group,SP3D Entity,93d9b864-0037-57ea-9a77-1c5a0a8755c2,@a=0027!!80005##437227577091031069,Flange-2011,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-005\ModuleAssembly-001-6-Undefined-0001-1C0031,,,,Working,New,
